Időpont;Letöltés;Letöltés %;Feltöltés;Feltöltés %;Válaszidő;Csomagvesztés
2023.04.29 10:30;862.53 Mbps;86%;331.67 Mbps;111%;2 msec.;1
2023.04.29 11:30;840.40 Mbps;84%;331.37 Mbps;110%;2 msec.;1
2023.04.29 12:30;858.33 Mbps;86%;331.20 Mbps;110%;2 msec.;1
2023.04.29 13:30;860.34 Mbps;86%;331.38 Mbps;110%;2 msec.;1
2023.04.29 14:30;856.85 Mbps;86%;331.69 Mbps;111%;2 msec.;1
2023.04.29 15:30;865.55 Mbps;87%;331.60 Mbps;111%;2 msec.;1
2023.04.29 16:30;845.99 Mbps;85%;331.16 Mbps;110%;2 msec.;1
2023.04.29 17:30;852.37 Mbps;85%;331.33 Mbps;110%;2 msec.;1
2023.04.29 18:30;850.64 Mbps;85%;331.09 Mbps;110%;2 msec.;1
2023.04.29 19:30;859.19 Mbps;86%;331.19 Mbps;110%;2 msec.;1
2023.04.29 20:30;854.28 Mbps;85%;329.78 Mbps;110%;2 msec.;1
2023.04.29 21:30;863.35 Mbps;86%;330.72 Mbps;110%;2 msec.;1
2023.04.29 22:30;859.55 Mbps;86%;330.72 Mbps;110%;2 msec.;1
2023.04.29 23:30;860.61 Mbps;86%;331.67 Mbps;111%;2 msec.;1
2023.04.30 0:31;868.18 Mbps;87%;330.55 Mbps;110%;2 msec.;1
2023.04.30 1:30;855.10 Mbps;86%;330.83 Mbps;110%;2 msec.;1
2023.04.30 2:30;854.81 Mbps;85%;331.99 Mbps;111%;2 msec.;1
2023.04.30 3:30;857.17 Mbps;86%;331.89 Mbps;111%;2 msec.;1
2023.04.30 4:30;857.27 Mbps;86%;331.85 Mbps;111%;2 msec.;1
2023.04.30 5:30;848.19 Mbps;85%;331.77 Mbps;111%;2 msec.;1
2023.04.30 6:30;847.43 Mbps;85%;332.08 Mbps;111%;2 msec.;1
2023.04.30 7:30;860.51 Mbps;86%;331.78 Mbps;111%;2 msec.;1
2023.04.30 8:30;855.97 Mbps;86%;332.12 Mbps;111%;2 msec.;1
2023.04.30 9:30;869.08 Mbps;87%;331.89 Mbps;111%;2 msec.;1
2023.04.30 10:30;856.86 Mbps;86%;331.51 Mbps;111%;2 msec.;1
2023.04.30 11:30;857.36 Mbps;86%;331.07 Mbps;110%;2 msec.;1
2023.04.30 12:30;852.13 Mbps;85%;331.10 Mbps;110%;2 msec.;1
2023.04.30 13:30;860.58 Mbps;86%;331.50 Mbps;111%;2 msec.;1
2023.04.30 14:30;860.27 Mbps;86%;331.28 Mbps;110%;2 msec.;1
2023.04.30 15:30;851.15 Mbps;85%;331.02 Mbps;110%;2 msec.;1
2023.04.30 16:30;856.18 Mbps;86%;331.04 Mbps;110%;2 msec.;1
2023.04.30 17:30;864.74 Mbps;86%;331.32 Mbps;110%;2 msec.;1
2023.04.30 18:30;858.85 Mbps;86%;330.75 Mbps;110%;2 msec.;1
2023.04.30 19:30;859.65 Mbps;86%;330.13 Mbps;110%;2 msec.;1
2023.04.30 20:30;859.40 Mbps;86%;330.87 Mbps;110%;2 msec.;1
2023.04.30 21:30;861.52 Mbps;86%;330.70 Mbps;110%;2 msec.;1
2023.04.30 22:30;857.64 Mbps;86%;331.30 Mbps;110%;2 msec.;1
2023.04.30 23:30;863.41 Mbps;86%;331.40 Mbps;110%;2 msec.;1
2023.05.01 0:30;861.32 Mbps;86%;331.26 Mbps;110%;2 msec.;1
