Időpont;Letöltés;Letöltés %;Feltöltés;Feltöltés %;Válaszidő;Csomagvesztés
2023.06.27 5:30;912.09 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.27 6:30;906.84 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.27 7:30;908.21 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.27 8:30;912.43 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.27 9:30;912.66 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.27 10:30;902.04 Mbps;90%;325.06 Mbps;108%;2 msec.;1
2023.06.27 11:30;910.49 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.27 12:30;912.66 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.27 13:30;913.69 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.27 14:30;912.55 Mbps;91%;325.06 Mbps;108%;3 msec.;1
2023.06.27 16:30;908.21 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.27 17:30;909.01 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.27 19:30;912.43 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.27 20:30;910.84 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.27 21:30;909.35 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.27 22:30;906.61 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.27 23:30;906.04 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.28 0:30;906.15 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.28 1:30;909.92 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.28 2:30;909.69 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.28 3:30;910.84 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.28 4:30;907.07 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.28 5:30;909.12 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.28 6:30;908.21 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.28 7:30;911.52 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.28 8:30;907.18 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.28 9:30;905.24 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.28 10:30;911.29 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.28 11:30;910.04 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.28 12:30;909.69 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.28 13:30;911.41 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.28 15:30;910.95 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.28 16:30;911.41 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.28 17:30;913.12 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.28 18:30;912.09 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.28 19:30;907.98 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.28 20:30;910.49 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.28 21:30;903.07 Mbps;90%;325.06 Mbps;108%;2 msec.;1
2023.06.28 22:30;912.21 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.28 23:30;910.15 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.29 0:30;912.09 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.29 1:30;912.21 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.29 2:30;912.09 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.29 3:30;907.29 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.29 4:30;907.75 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.29 5:30;911.18 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.29 6:30;910.84 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.29 7:30;911.29 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.29 8:30;906.04 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.29 9:30;911.98 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.29 10:30;911.86 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.29 11:30;913.69 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.29 12:30;909.46 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.29 13:30;908.78 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.29 14:30;842.06 Mbps;84%;325.06 Mbps;108%;2 msec.;1
2023.06.29 15:30;881.82 Mbps;88%;325.06 Mbps;108%;2 msec.;1
2023.06.29 16:30;846.18 Mbps;85%;325.06 Mbps;108%;2 msec.;1
2023.06.29 17:30;849.60 Mbps;85%;325.06 Mbps;108%;2 msec.;1
2023.06.29 18:30;903.75 Mbps;90%;325.06 Mbps;108%;2 msec.;1
2023.06.29 19:30;911.52 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.29 20:30;909.35 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.29 21:30;909.24 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.29 22:30;909.69 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.29 23:30;910.26 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.30 0:30;909.81 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.30 1:30;910.72 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.30 2:30;908.44 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.30 3:30;911.06 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.30 4:30;909.58 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.30 5:30;908.09 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.30 6:30;899.53 Mbps;90%;325.06 Mbps;108%;2 msec.;1
2023.06.30 7:30;910.26 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.30 8:30;897.93 Mbps;90%;325.06 Mbps;108%;2 msec.;1
2023.06.30 9:30;912.66 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.30 10:30;910.49 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.30 11:30;912.66 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.30 12:30;910.95 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.30 13:30;911.52 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.30 14:30;909.69 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.30 15:30;904.21 Mbps;90%;325.06 Mbps;108%;2 msec.;1
2023.06.30 16:30;905.47 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.30 17:30;910.15 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.30 18:30;911.29 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.30 19:30;907.75 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.30 20:30;911.29 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.30 21:30;910.49 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.30 22:30;914.26 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.06.30 23:30;910.04 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.01 0:30;908.32 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.01 1:30;909.81 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.01 2:30;910.15 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.01 3:30;907.64 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.01 4:30;903.18 Mbps;90%;325.06 Mbps;108%;2 msec.;1
2023.07.01 5:30;896.90 Mbps;90%;325.06 Mbps;108%;2 msec.;1
2023.07.01 6:30;908.21 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.01 7:30;854.17 Mbps;85%;325.06 Mbps;108%;2 msec.;1
2023.07.01 8:30;845.49 Mbps;85%;325.06 Mbps;108%;2 msec.;1
2023.07.01 9:30;845.49 Mbps;85%;325.06 Mbps;108%;2 msec.;1
2023.07.01 10:30;832.12 Mbps;83%;325.06 Mbps;108%;2 msec.;1
2023.07.01 11:30;819.22 Mbps;82%;325.06 Mbps;108%;2 msec.;1
2023.07.01 12:30;845.26 Mbps;85%;325.06 Mbps;108%;2 msec.;1
2023.07.01 13:30;834.18 Mbps;83%;325.06 Mbps;108%;2 msec.;1
2023.07.01 15:30;888.33 Mbps;89%;325.06 Mbps;108%;2 msec.;1
2023.07.01 16:30;842.98 Mbps;84%;325.06 Mbps;108%;2 msec.;1
2023.07.01 17:30;851.09 Mbps;85%;325.06 Mbps;108%;2 msec.;1
2023.07.01 18:30;846.06 Mbps;85%;325.06 Mbps;108%;2 msec.;1
2023.07.01 19:30;824.81 Mbps;82%;325.06 Mbps;108%;2 msec.;1
2023.07.01 20:30;834.64 Mbps;83%;325.06 Mbps;108%;2 msec.;1
2023.07.01 21:30;841.83 Mbps;84%;325.06 Mbps;108%;2 msec.;1
2023.07.01 22:30;856.57 Mbps;86%;325.06 Mbps;108%;2 msec.;1
2023.07.01 23:30;848.00 Mbps;85%;325.06 Mbps;108%;2 msec.;1
2023.07.02 0:30;855.66 Mbps;86%;325.06 Mbps;108%;2 msec.;1
2023.07.02 1:30;838.98 Mbps;84%;325.06 Mbps;108%;2 msec.;1
2023.07.02 2:30;878.73 Mbps;88%;325.06 Mbps;108%;2 msec.;1
2023.07.02 3:30;873.02 Mbps;87%;325.06 Mbps;108%;2 msec.;1
2023.07.02 4:30;843.21 Mbps;84%;325.06 Mbps;108%;2 msec.;1
2023.07.02 5:30;845.09 Mbps;85%;325.06 Mbps;108%;2 msec.;1
2023.07.02 6:30;826.18 Mbps;83%;325.06 Mbps;108%;2 msec.;1
2023.07.02 7:30;864.23 Mbps;86%;325.06 Mbps;108%;2 msec.;1
2023.07.02 8:30;861.26 Mbps;86%;325.06 Mbps;108%;2 msec.;1
2023.07.02 9:30;865.03 Mbps;87%;325.06 Mbps;108%;2 msec.;1
2023.07.02 10:30;855.54 Mbps;86%;325.06 Mbps;108%;2 msec.;1
2023.07.02 11:30;848.00 Mbps;85%;325.06 Mbps;108%;2 msec.;1
2023.07.02 12:30;838.98 Mbps;84%;325.06 Mbps;108%;2 msec.;1
2023.07.02 13:30;852.23 Mbps;85%;325.06 Mbps;108%;2 msec.;1
2023.07.02 14:30;857.03 Mbps;86%;325.06 Mbps;108%;2 msec.;1
2023.07.02 15:30;837.95 Mbps;84%;325.06 Mbps;108%;2 msec.;1
2023.07.02 16:30;846.63 Mbps;85%;325.06 Mbps;108%;2 msec.;1
2023.07.02 17:30;835.55 Mbps;84%;325.06 Mbps;108%;2 msec.;1
2023.07.02 18:30;833.15 Mbps;83%;325.06 Mbps;108%;2 msec.;1
2023.07.02 19:30;843.21 Mbps;84%;325.06 Mbps;108%;2 msec.;1
2023.07.02 20:30;847.09 Mbps;85%;325.06 Mbps;108%;2 msec.;1
2023.07.02 21:30;798.88 Mbps;80%;325.06 Mbps;108%;2 msec.;1
2023.07.02 22:30;841.03 Mbps;84%;325.06 Mbps;108%;2 msec.;1
2023.07.02 23:30;835.32 Mbps;84%;325.06 Mbps;108%;2 msec.;1
2023.07.03 0:30;838.52 Mbps;84%;325.06 Mbps;108%;2 msec.;1
2023.07.03 1:30;865.37 Mbps;87%;325.06 Mbps;108%;2 msec.;1
2023.07.03 2:30;833.38 Mbps;83%;325.06 Mbps;108%;2 msec.;1
2023.07.03 3:30;827.55 Mbps;83%;325.06 Mbps;108%;2 msec.;1
2023.07.03 4:30;864.91 Mbps;86%;325.06 Mbps;108%;2 msec.;1
2023.07.03 5:30;841.03 Mbps;84%;325.06 Mbps;108%;2 msec.;1
2023.07.03 6:30;857.37 Mbps;86%;325.06 Mbps;108%;2 msec.;1
2023.07.03 7:30;850.63 Mbps;85%;325.06 Mbps;108%;2 msec.;1
2023.07.03 8:30;849.83 Mbps;85%;325.06 Mbps;108%;2 msec.;1
2023.07.03 9:30;832.12 Mbps;83%;325.06 Mbps;108%;2 msec.;1
2023.07.03 10:30;837.38 Mbps;84%;325.06 Mbps;108%;2 msec.;1
2023.07.03 11:30;863.77 Mbps;86%;325.06 Mbps;108%;2 msec.;1
2023.07.03 12:30;863.77 Mbps;86%;325.06 Mbps;108%;2 msec.;1
2023.07.03 13:30;821.16 Mbps;82%;325.06 Mbps;108%;2 msec.;1
2023.07.03 14:30;820.13 Mbps;82%;325.06 Mbps;108%;2 msec.;1
2023.07.03 15:30;906.27 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.03 16:30;894.04 Mbps;89%;325.06 Mbps;108%;2 msec.;1
2023.07.03 17:30;915.75 Mbps;92%;325.06 Mbps;108%;2 msec.;1
2023.07.03 18:30;906.38 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.03 19:30;910.38 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.03 20:30;909.58 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.03 21:30;908.44 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.03 22:30;880.56 Mbps;88%;325.06 Mbps;108%;2 msec.;1
2023.07.03 23:30;907.18 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.04 0:30;908.78 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.04 1:30;907.29 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.04 2:30;908.09 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.04 3:30;907.52 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.04 4:30;903.98 Mbps;90%;325.06 Mbps;108%;2 msec.;1
2023.07.04 5:30;906.95 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.04 6:30;895.41 Mbps;90%;325.06 Mbps;108%;2 msec.;1
2023.07.04 7:30;898.84 Mbps;90%;325.06 Mbps;108%;2 msec.;1
2023.07.04 8:30;893.01 Mbps;89%;325.06 Mbps;108%;2 msec.;1
2023.07.04 9:30;911.06 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.04 10:30;910.49 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.04 11:30;910.49 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.04 12:30;873.14 Mbps;87%;325.06 Mbps;108%;2 msec.;1
2023.07.04 13:30;908.32 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.04 14:30;910.04 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.04 15:30;909.24 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.04 16:30;911.06 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.04 17:30;912.55 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.04 18:30;914.49 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.04 19:30;909.35 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.04 20:30;908.32 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.04 21:30;891.30 Mbps;89%;325.06 Mbps;108%;2 msec.;1
2023.07.04 22:30;894.96 Mbps;89%;325.06 Mbps;108%;2 msec.;1
2023.07.04 23:30;852.23 Mbps;85%;325.06 Mbps;108%;2 msec.;1
2023.07.05 0:30;885.93 Mbps;89%;325.06 Mbps;108%;2 msec.;1
2023.07.05 1:41;912.55 Mbps;91%;325.06 Mbps;108%;3 msec.;1
2023.07.05 2:30;912.32 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.05 3:30;912.66 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.05 4:30;908.09 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.05 5:30;910.15 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.05 6:30;914.03 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.05 7:30;911.29 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.05 8:30;910.95 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.05 9:30;912.09 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.05 10:31;916.43 Mbps;92%;325.06 Mbps;108%;2 msec.;1
2023.07.05 11:34;915.63 Mbps;92%;325.06 Mbps;108%;2 msec.;1
2023.07.05 12:30;906.49 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.05 13:30;895.18 Mbps;90%;325.06 Mbps;108%;2 msec.;1
2023.07.05 14:42;0.00 Mbps; %;0.00 Mbps; %; msec.;7
2023.07.05 16:31;912.89 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.05 17:30;907.64 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.05 18:30;884.90 Mbps;88%;325.06 Mbps;108%;2 msec.;1
2023.07.05 19:30;912.55 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.05 20:30;910.61 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.05 21:30;913.46 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.05 22:30;912.66 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.05 23:30;908.55 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.06 0:30;913.46 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.06 1:30;912.89 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.06 2:30;913.92 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.06 3:30;914.83 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.06 4:30;913.23 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.06 5:30;916.43 Mbps;92%;325.06 Mbps;108%;2 msec.;1
2023.07.06 6:30;911.75 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.06 7:30;909.92 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.06 8:30;913.12 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.06 9:30;902.72 Mbps;90%;325.06 Mbps;108%;2 msec.;1
2023.07.06 10:30;913.01 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.06 11:30;908.89 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.06 12:30;909.69 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.06 13:30;911.75 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.06 14:30;909.58 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.06 15:30;912.09 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.06 16:30;911.64 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.06 17:30;908.21 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.06 19:30;915.29 Mbps;92%;325.06 Mbps;108%;2 msec.;1
2023.07.06 20:30;911.41 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.06 21:30;912.21 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.06 22:30;913.69 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.06 23:30;912.66 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.07 0:30;911.29 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.07 1:30;913.01 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.07 2:30;910.95 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.07 4:30;905.58 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.07 5:30;907.98 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.07 6:30;912.21 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.07 7:30;902.84 Mbps;90%;325.06 Mbps;108%;2 msec.;1
2023.07.07 8:30;909.24 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.07 9:30;913.01 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.07 10:30;908.32 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.07 11:30;907.29 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.07 13:30;901.81 Mbps;90%;325.06 Mbps;108%;2 msec.;1
2023.07.07 14:30;911.41 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.07 15:30;911.86 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.07 16:30;913.12 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.07 17:30;910.26 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.07 18:30;913.01 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.07 19:30;908.89 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.07 20:30;910.72 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.07 21:30;911.86 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.07 22:30;913.23 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.07 23:30;908.78 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.08 0:30;914.26 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.08 1:30;910.49 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.08 2:30;906.61 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.08 3:30;913.46 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.08 4:30;912.09 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.08 5:30;912.43 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.08 6:30;913.35 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.08 7:30;913.69 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.08 8:30;914.83 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.08 9:30;909.69 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.08 10:30;909.12 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.08 11:30;909.24 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.08 12:30;910.84 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.08 13:30;911.06 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.08 14:30;915.52 Mbps;92%;325.06 Mbps;108%;2 msec.;1
2023.07.08 15:30;914.83 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.08 16:30;907.87 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.08 17:30;915.52 Mbps;92%;325.06 Mbps;108%;2 msec.;1
2023.07.08 18:30;909.35 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.08 19:30;913.01 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.08 20:30;901.70 Mbps;90%;325.06 Mbps;108%;2 msec.;1
2023.07.08 21:30;913.12 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.08 22:30;915.86 Mbps;92%;325.06 Mbps;108%;2 msec.;1
2023.07.08 23:30;912.89 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.09 0:30;910.38 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.09 1:30;909.69 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.09 2:30;909.69 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.09 3:30;909.69 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.09 4:30;906.95 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.09 8:30;910.72 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.09 9:30;912.55 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.09 10:30;908.55 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.09 11:30;908.09 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.09 12:30;914.15 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.09 13:30;902.61 Mbps;90%;325.06 Mbps;108%;2 msec.;1
2023.07.09 14:30;908.66 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.09 15:30;908.66 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.09 16:30;906.95 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.09 17:30;912.21 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.09 18:30;910.49 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.09 19:30;905.69 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.09 20:30;908.09 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.09 21:30;911.18 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.09 22:30;910.72 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.09 23:30;911.41 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.10 0:30;913.35 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.10 1:30;915.18 Mbps;92%;325.06 Mbps;108%;2 msec.;1
2023.07.10 2:30;911.06 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.10 3:30;911.86 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.10 4:30;914.26 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.10 5:30;912.32 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.10 6:30;913.69 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.10 7:30;906.72 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.10 8:30;904.90 Mbps;90%;325.06 Mbps;108%;3 msec.;1
2023.07.10 9:30;908.78 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.10 11:30;910.38 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.10 12:30;911.29 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.10 13:30;909.58 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.10 14:30;910.49 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.10 15:30;911.75 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.10 16:30;911.41 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.10 17:30;911.18 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.10 18:30;911.29 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.10 19:30;910.61 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.10 20:30;901.81 Mbps;90%;325.06 Mbps;108%;2 msec.;1
2023.07.10 21:30;912.66 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.10 22:30;907.07 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.10 23:30;909.35 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.11 0:30;905.47 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.11 1:30;905.92 Mbps;91%;325.06 Mbps;108%;2 msec.;1
2023.07.11 3:30;904.90 Mbps;90%;325.06 Mbps;108%;2 msec.;1
2023.07.11 4:30;904.78 Mbps;90%;325.06 Mbps;108%;2 msec.;1
2023.07.11 5:30;908.21 Mbps;91%;325.06 Mbps;108%;2 msec.;1
